Comment,Forum
三白眼死全家，哈哈！,Discuss
叼你咩！求閪其搵個人就話係離職警，我夠話佢係肥佬黎個菊花友啦,Discuss
哈，边个不断挑釁， 过嚟打我啦，過嚟打我啦！,Discuss
林鄭立法係合法，帶人去元朗搞事起碼非法集結，合法同違法兩件事分別以很大，咁政府合法地立法你用違法方法阻止，同721元朗有班有非法集結，有白衣人用了違法方式阻止，完全兩個概念，但係經常有班人支持違法達義，白衣人都係違法達義，但係大家對義有不同見解及立場，黑衣要用違法方式滅白衣人支持政府聲音，白衣人用違法方式保衛自己立場及家園及山墳，誰義理較高以高下立見,Discuss
"唔係完全認同差人，好似而家黑喪屍都冇上街，人手應冇咁緊張，好多pk泊車泊滿轉灣位，車都行唔到，又冇人抄牌，打L咗好多次999都係冇人理。
須然唔認同暴力，但黑喪屍去踩人場，四處破壞打人，只有用暴力對付班喪屍先係唯一方法，打打到班垃圾pk,大快人心👏",Discuss
囇鳩氣，賤果變仙股，仲靠作文？食屎啦,Discuss
屌，首先先暸者賤，D政棍同暴徒為左移轉移視線，走入元朗暸打，當晚D暴徒同黑衣人破壞中聯辦，國家國徽，專登入元朗同D黑媒、假記者製造假新聞去轉移視線，三白眼應該快啲坐監，明眼人一睇就知道佢專登入去元朗暸交打，若果有犯國安法就快啲拉佢，等佢唔好再搞亂香港,Discuss
我最爭解放軍。。。奈何你班能樣唔敢圍軍營。。。。怕死。。。驚拉。。。而家因為你地多左條國安法， 你地爭取左甘多年。。。越爭取， 越倒退。。。。食屎啦。 個個星期仲有面拿住個錢箱叫捐款。。。捐款捐款。,Discuss
"弱智文宣, 咁唔鍾意香港可以走, 做咩要留係丁受罪?",Discuss
又係毒果狗妓含L住笑作文,Discuss
"同樣暴力
但就逼警察企係黑衫果邊
你詳細解釋下？
國際認同香港警察冇問題你講乜都冇用
李嘉城刀未出聲
你哩d蟻民扮到咩野刀知道！
請問香港有邊位成功人士指責香港警察？？？？？？
好似冇
誠哥叫柒婆:網開一面
意思係
1:判十年八年好啦
2:打半死好啦
你地班智力有障礙傻人
幻想成:無罪釋放
之後誠哥都廢撚事再理你地班友
再下腦啦！柒下柒下！
果然係柒婆管柒民",Discuss
日日九up當真理🤪 曱甴😷肺炎上腦👺,Discuss
曱甴抵9死,Discuss
何必迫人面對現實,Discuss
"蘋果講過喎.....
我夠可以出個POST 話乜乜前毒果員工數臭公司啦....老作邊個唔識...",Discuss
"唔怪得唔夠警力去元朗, 又有幫兇""市民""圍警署, 又叫人狂打爆999.",Discuss
我記得721嗰晚三白眼好似好威咁走入元朗搞事，又好樣衰衰咁走。,Discuss
"一班仇警暴徒假裝報謷求助, 企圖破壞謷局!!
真正巿民只要立即遠離黑衣暴動區, 根本不會有事!!
只要不是住村, 普通居民返屋企, 更加不會有事!!
住村就慘D!! 黑衣外圍偷襲, 白衣又全力保衛家園!!",Discuss
"呢啲道理, YC曱甴識條鐵咩",Discuss
"有幾多人離職後仲咁關心公司？
仲要走去同記者講
我好擔心公司
我又好擔心香港市民
我要離開公司
繼續吹",Discuss
"黑白衣都系黑社會........
黑衣去人地地盤攪事被打居然投訴? 笑死人.... ",Discuss
"死爛果剩係識歪曲事實, 亂作新聞, 毫無專業, 信一成都死.",Discuss
"黑暴周圍破壞,打人, 你又唔話荒謬",Discuss
"柳俊江俾人打到爆肛, 目標已達到, 佢可以退下.
其他留返俾文宣組.",Discuss
"7.21好荒謬,唔夠抽唔使受! ",Discuss
"呢段頭5秒示威者衝埋去扑閘挑釁白衫，有冇加返落去？定繼續做黑記cut左去？
呢後仲清楚
仲有向白衫噴水段片",Discuss
你估班仆街黃屍曱甴唔知?最重要有藉口出黎搞事,Discuss
"啲稅俾港台仲好過俾班黑警，721經過差唔多一年咩都查到，一班記者仲有職業操守、能力過班黑警
最恐怖係，香港電台唔係警察，無高科技都可以單憑僅餘嘅資料去調查到咁多野但警察呢？垃圾
12歲己經可以做網絡妓姐",Discuss
"斷章取義
點解唔講用水喉射人",Discuss
黑警等天收,Discuss
曱甴等阿爺收,Discuss
"射到濕能晒-,-吊牙",Discuss
"警察明顯失職,無人負責
現今香港政府,史上最差",Discuss
打得少,Discuss
係又点，吹咩，只見白衣英雄保護家園，況且警黑合作一向是管理的最佳方法,Discuss
"片面、吹水加幻想,就可以做到假節目.",Discuss
無架？cut左就有真相？,Discuss
Ching啲白衣硬能九九的，支持佢哋 = 硬能九九,Discuss
支持白衣人打鳩曱甴,Discuss
D藍屍死撚晒？,Discuss
"個世叔伯比曱甴插爆心口爆晒江先自衛反擊!
班中國黃種人唔睇事實都講下道理啦,山長水越走入去示威咩,明眼人都知啦!有人信咩!",Discuss
裡面有無講 21/7 曱甴要聲東擊西話要去元朗大攪事？ 大大力有心傳去班鄉里？,Discuss
點解講台唔報導下呢的事,Discuss
不如cut淨三白眼抹咀嗰段就完，三秒搞掂啦，死黑妓,Discuss
對黑警死全家,Discuss
曱甴全家不得好死,Discuss
腥肛電台?算吧啦～,Discuss
曱甴死全家！,Discuss
梗係香港電台啦,Discuss
謝謝分享手足加油,Discuss
黑記及港台最住配搭，永遠都是謊話，收黑金,Discuss
用你哋邏輯，冇721何來私鳥,Discuss
時代垃圾，全部入察,Discuss
到依家都未拉晒班死曱甴，絕對失職。,Discuss
到依家都未拉晒班死曱甴，絕對失職。,Discuss
"又係幻想自high 打飛支，諗到就當真
你去僕街啦，賤種",Discuss
香港電台，漏左兩張海報呀。登出來，定繼續做黑記收埋呀？,Discuss
日日話警察係黑警，點解D黃C仲有機會鏡頭前後做可以話比你聽 鑊鑊報紙 傳媒都係話黑警呢 而無被滅口呢？,Discuss
台灣或國民黨獨有死黑警,Discuss
下集會唔會播 831太子站真相呢？,Discuss
"剪頭剪尾不夠膽將原條片放曬出來
老屈人地的手法",Discuss
垃圾台斷章取義，算把啦。,Discuss
有無影埋趙寶琴事後扮麥當勞媽媽接受傳媒訪問？,Discuss
點解講台晤深入紀錄下黄畜點打市民，殺市民，恐嚇市民？,Discuss
吓，你就真係斷章取義啦，黑白不分同先後次序不分，d搭客用水喉射水係想擋住d白衣人無差別去打人呀，而且射水亦唔會傷到人呀，個廚師被滕條打到背脊傷晒果d先係嚴重傷人呀,Discuss
白衫威1睌俾黑衣入去玩左1年，好似家園不保喎,Discuss
"記者係查到真相定係老作真相呀？最怕“真相”全部係編輯房全部虛構出嚟嘅……
香港有一份生果傳媒出晒名虛構新聞啦～",Discuss
暴徒入元朗搞事，發現唔夠打，用水喉擋住攻勢。,Discuss
算撚數啦講台！國安法後你嗰台好快玩完，到時TBB做官方台。,Discuss
仲要冇糧出，隨時做死士，被人害𠃊死果種,Discuss
你有冇睇清楚時間？六點幾已經有白衣人打途人啦……,Discuss
真相？721金鐘貨van司機被私了有冇講？真相🤣🤣🤣,Discuss
對，冇黑驚咪唔洗死全家，死曱甴,Discuss
樓主記得唔好轉移目標！當時差佬系唔會無端端攪街坊，查佢地！自保人人都會好似北角一樣冇人挑機就唔會發生打人或比人打！,Discuss
黑衣已被收,Discuss
講條𠃊咩，次次拜假山,Discuss
呢排冇乜見啲暴徒，死晒呀？,Discuss
"(個廚師被滕條打到背脊傷晒)
引用白香討黃人個句
*呢個世界沒有無緣無故的恨*
佢做過d 咩!",Discuss
點失職？點無能？齋吹唔洗証據，時代垃圾思維,Discuss
幾時拍埋831先?,Discuss
嘩。吊港台黎既，仲衰過亞視。,Discuss
黑記避重就輕片面一詞也不是今天伊始，不是全局看來把撚,Discuss
收得皮喇！禍港電台觸犯國安法散播謠言,Discuss
你真係好L蠢呀！ Haha!,Discuss
吓?攞晒㗎生喎。,Discuss
黑記黑醫黑律師黑老師 得黑警唔係黑🤣🤣🤣,Discuss
國安法出動,Discuss
"警民合作除黑暴, 俾你D 黑媒亂咁寫, 明眼人自己識過濾引導性資訊, 係黃屍先咁冇腦",Discuss
唔講下3白眼？圾垃ycctvb,Discuss
黑色定白色，先係元朗，樓主答,Discuss
打途人。。。咁你都作得出重又乜野睇得清啊，你!,Discuss
cut頭cut尾，再老作…黑媒本色,Discuss
曱甴等地葬,Discuss
你D手足呢， 唔係有左國安法D 曱甴淆曬底下話。,Discuss
美國政府明顯係全球最好，養到果班警察咁照顧市民，又開槍、又用車撞、又鎖喉，一年都唔知死幾個人,Discuss
廚師唔係途人？？,Discuss
死全家,Discuss
港台養埋成班曱甴，反中亂港，自取滅亡。,Discuss
因為港台冇咗警訊拍攝，就唔怕得罪個客，21/7有直播睇到，現在靠剪接，港台應該就嚟接埋,Discuss
"自己人查自己人,當然可能!",Discuss
"曱甴廚師唔係途人
曱甴记者唔係记者
曱由黑衣人唔算係人",Discuss
港台？算吧啦！,Discuss
呢集精彩!警務署竟然否認!,Discuss
白衣打黑暴曱甴打得好,Discuss
具体說明好嗎？,Discuss
黑色頭像啊！,Discuss
點解唔答,Discuss
替天行道雖然違法，但可理解,Discuss
香港垃圾電台💩🖕,Discuss
"好片面
點解唔播三白眼帶人入元朗攪事?",Discuss
有組職記劃去元朗攪事,Discuss
"佢答左你啦，啲黃人話
（d搭客用水喉射水係想擋住d白衣人無差別去打人呀）
所以以佢地既邏輯，個位廚師只係普通市民係附近散步，點知無啦啦比人追住打，
啱唔啱呀，黃人？",Discuss
睇下先啦,Discuss
係點解唔係成個故事講,Discuss
港台假新聞人所共知。講來講去都721。點解唔講黑暴做成的經濟損失。,Discuss
講D唔講D叫做真相? 怪唔得咁多智障高汁domdom啦!,Discuss
港台，算把啦,Discuss
係费時答。就好似有个白痴指住个馬係要你答果只係牛，指住白色係要你答係黑色。,Discuss
死同唔死 有分別咩 疫情又係死 分化又係死,Discuss
"甘都話係證據呀，冇頭冇尾甘都得架
831有死人，你一定信啦，吾同頭皮講野
因為頭皮個腦係你裝D乜就信乜架，個腦
吾會用架，仆街",Discuss
港台煽動叛亂，拉得。,Discuss
"唔怪得要禁止港人使用YouTube,因為太多人濫用。
如果做廚師, 煮了這麼多動物的肉, 被打都好正常。
被咁多人圍, 他都能成功逃走, 證明他的體能都很不錯。",Discuss
仲721？都冇曱甴上街啦，仲要推傻仔去死，不如樓主自己上街舉港獨旗算啦。,Discuss
用黑旋鋒喇,Discuss
"你听我講啦。。
1个負责任既政府會封咗港台。",Discuss
港台講野係流係常識，留主你有沒有搞錯。,Discuss
如果你唔係弱智，係人都係電視見到兩班人係元朗地鐵站對打，請解釋點解咁多唔係住係元朗嘅黑衣人係元朗先？唔好同我講話經過或食飯之類，如解釋唔到返去問下你老母先出來講。,Discuss
冇乜好討論 國安法己定  黃色輸咗  全敗徹底,Discuss
白警睇唔過眼？,Discuss
"你細路黎架，黑警只要守法，有必要趕盡殺絕嗎？
這個世界一定是非黑即白嗎？
一個黑警就吱娃鬼叫，大年青了，我話俾你聽若有3萬黑警，你必嘔血而亡呀，警察本來就黑過黑社會，吾係一早俾黑社會玩死呀，但黑警守法呀",Discuss
曱甴全家死。,Discuss
仲要等？國安法都出咗啦，隨時收佢檔啦，佢呢D帖已經中咗啦,Discuss
你住喺個井🐸裏面，有點睇到世界外面嗰啲藍絲呢。🤭,Discuss
手足們努力乃閪,Discuss
誤導，引發他人仇恨政府，拉得,Discuss
港台有無調查中資銀行和美心被恐怖襲擊時有無便衣警？,Discuss
"挑那星, 721當晚好早班乞衣暴徒已經响元朗追打白衫啦, 之後就散水, 等白衫吹雞, 匿响元朗站, 等埋3白眼條賤種埋位玩挑釁白衫, 成個事實就係咁, 你香港賤台一班賤妓者只可以洗曱甴黑暴個班嘅腦, 再講一千次都係大話, 杏+橙......",Discuss
"應該未死曬
有膽既出去 不斷被人捉
剩番無膽既就只係係到文宣 又怕國安法 唔敢叫唔叫號 只可繼續扼人去衝既垃圾囉。",Discuss
BBC點解又唔講嶺南班學生,Discuss
"立國安法咪就係要對付呢的生安白造嘅死黑妓囉！
而家連7.1回歸慶典特輯都唔比港台拍，寧願比TVB拍。警訊又唔再比佢製作！呢的垃圾電台，重有乜公信力？不如比曱甴做港獨基地做炸彈食白粉啦！😆",Discuss
"全部係假的
我唔會信！
拍唔到，我唔信
拍到，我唔信！
藍絲如何鍊成！",Discuss
依喂，呢張海報好有黑社會吹雞嘅感覺喎，,Discuss
咁又點，我支持721所有白衫参加者和警察，最好日日都係721，打死你班仆街黄屍暴徒,Discuss
講台每年消耗幾多公帑拍了甚麼出來？產量唔多不特止，仲要係垃圾節目,Discuss
支持警察開實彈直接射殺黄屍暴徒,Discuss
香台出咩聲。有人攞完影片再搵律師睇完都無嘢講。,Discuss
👏🏻👏🏻真相圖片，招人攻打同入侵中國香港元朗，結果比元朗人打走他們，解放軍都不用出動，元朗居民就成功保護國土，咩大紫荊金紫荊，要補比他們一個英勇勳章！,Discuss
"成件事就係你呢類xx講既五秒丫
咁大班白衫企係道托丫",Discuss
港台死性不過，大力支持政府cut左港台。,Discuss
就算美國等民主大國都係一鳩樣，cut頭cut尾誤導民眾,Discuss
最主要問題，係味發生打架問題前，班黑衣人入元朗做咩事，又係度搬龍門。港台係而家時期又做文宣，又前因後果講清楚。香港政府真係可以收反。,Discuss
"拍到就要信？所以话你呢D人唔被人利用，利用边个？
..你蠢係事實，不过都唔好蠢到出晒面",Discuss
你講先後呀，你唔係先入元去搞人，唔通佢喺入面拉條喉出去射你,Discuss
"政府開始陰乾港台
中央亦都陰乾緊死曱甴
睇下而家無曱甴死出黎就知",Discuss
"有無提到三白眼預告光復元朗？
有無提三白眼屌人老母？
有無提黃人拎水喉射人？
有無提到黑衫唔係元朗人？
唔係淨係影白衣人強行拉閘同哨牙仔比人打就當係真相，港台扮持平扮得好肉酸",Discuss
港台好快執 太開心 垃圾電台 垃圾黑記 垃圾曱甴,Discuss
"師兄好波👍人都係善忘嘅，我都唔就得有張咁嘅海圾
黑記曱甴根本一伙，扮乜撚野",Discuss
"（鐵證！）當中共和何妖不斷篡改歷史、￼妖言惑眾地把721元朗恐襲合理化為保家衛園，
今集，《鏗鏘集》整理過去多月來蒐集的證據，明查暗訪多位涉案人士，清楚地還原事件真相！而且還揾到有片段影到，幾位手拿委任證的便衣警喺白衣人裡面，與參與襲擊、手持武器的白衣人言談甚歡；又影到何妖的得力助手有份在西鐵站內與一眾打人白衣兇徒握手....￼
而片段中亦提及到多位明顯參與襲擊的兇徒，至今仍然逍遙法外，警方也沒有進行拘捕或調查。",Discuss
"剛剛睇完，Bravo RTHK！
港台真係冇得頂！ 迫到何妖埋牆角，惟有又講乜嘢外國勢力，顏色革命。
前後兩集鏗鏘集講7.21，足以將香港黑警釘在歷史恥辱柱，永世不得翻身！",Discuss
可以唔答咩?即係承認了,Discuss
支持警察，撲滅曱甴!為民除害!,Discuss
"🤔真相是黑衣人網上招人攻打同入侵中國香港元朗，
結果比元朗人打走他們，解放軍都不用出動，元朗居民就成功保護國土，咩大紫荊金紫荊，要補比他們一個英勇勳章!
希望中國政府可以追封他們、表揚他們，為元朗人立一塊記念碑，特赦他們保家衛國時的暴力行為罪，邊有可以做防守，保衛國土會犯法，會比人定罪？
如印度攻打中國，中國防守，打走班印兵，唔通全世界國家都告中國殺人？
學美國自動派人去暗殺人，才會比人告。
咁元朗有冇主動派人出元朗暗殺對方搞手？
三白眼入元朗前比人暗殺了？
明明成班敵軍出現在元朗內，唔通唔打得？
印兵出現在中國土地上，中國兵唔打得？
南韓兵出現在北韓土地上，北韓兵唔打得？",Discuss
多謝鏗鏘集製作團隊還原真相,Discuss
仲唔 KO傷港賤台，死性不改,Discuss
未㗎,Discuss
😂 真相,Discuss
唔答即係承認。。哈哈笑死人咩,Discuss
港台,Discuss
垃圾電台,Discuss
On99,Discuss
"1年前無差別傷人嘅兇徒而家仍然消遙法外。
1年前香港人第一次叫嘅8字口號而家已經成為犯法嘅禁字。
呢個香港實在太荒謬。",Discuss
"香港警察喺7月14日，先畀你班曱甴打到一仆一碌，一個斷咗隻手指，一個後腦出血  ，之後曱甴仲要搭mtr東鐵線曱甴專車離開，試問一星期後，成幾百隻曱甴黑渣喺元朗站，如果你係差人，你會點？
點保證沙田嗰單嘢唔會再重演？正路當然係睇定啲先啦，39分鐘好耐咩？你哋曱甴咁好抽!",Discuss
"林卓廷不是元朗人 , 為甚麼 721 會在元朗出現
探親乎?",Discuss
"過去一年 ...
香港人道德观了，睁眼说瞎话",Discuss
一直都唔明點會有人咁蠢玩呢啲策略 ：真係唔好同人打仗、呢d思維的人只會送自己士兵一程,Discuss
"其實你地有曬片都要用相? 因為D片唔出得街? 明明有片影左白衣人只在大堂近村出入口的橋上聚集, 最後點解會上左月台?
話收到短訊白衣人係之前一直在附近施襲, 居然沒有大量完整片段流出? 來來去去都是一堆自說自話!? 明明黑衣最愛拍片!!
最後林生帶黑衣人在月台大叫大嚷叫囂怒罵在遠處的白衣, 並招手要他們過來的片段就絕對清楚可見!!",Discuss
破得好,Discuss
"同意
如不是犯民的话，警察根本无需与黑帮联手去执法
罪魁祸首就是犯民他们",Discuss
"真相?
唔好漏左呢個",Discuss
曱甴想掩飾721去中聯辦塗污國徽一事.,Discuss
我地普通市民，見証黄畜賤種喺呢一年四圍似人多，打市民，殺市民，恐嚇市民，包圍市民，破壞全香港。黄畜賤種，市民公敵。我地一定将黄畜賤種點用黑勢力残害市民嘅真相講比其他人知,Discuss
所謂7.21毒果，日月報，港台又大合唱，文宣停不了。,Discuss
黑暴真相!,Discuss
"真相啊！
點解架列車遲遲都開唔出，係都要等埋人地殺入去？
點解在列車上揸住部手機拍片既「市民」冇被人打，而「跪係度求情果件」會比人打，咁又點叫做「無差別打人」呢？
點解話比人打既大肚婆仲未生？
點解，明明在大堂上有好多黑衣人，但去到列車上就冇晒既？
點解明明叫人「打我丫」既人比人打完之後又要報警？
明明趕走晒d警察，又話警察唔出現？
真係好多「迷思」啊！",Discuss
三白眼帶頭攪事，成個黑幫大佬,Discuss
花柳江去左邊,Discuss
"同意
要不是他们香港人去涂污党徽
根本就不用怕被黑帮对付
罪魁祸首就是犯民他们",Discuss
反中白痴咪送左自己一程， 而家收晒皮...,Discuss
"七二一即係集體打鬥囉,講到好似死左幾千人咁誇張, 什麼歷史會永遠記住 底能",Discuss
要怪就怪黑衣人啦！本應香港生活安定，係都要鼓吹「私了」行動。好喇，白衣人響應私了行為，亂打黑衣人同普通市民，又只鬧警察，唔鬧「私了」思想，最後昨日因今日果，悲哀！,Discuss
"沒有林卓廷, 沒有721",Discuss
要話比香港人知黑暴林卓廷帶乞兒人入元朗毁人家園,Discuss
721被打金鐘貨車司機呢？曱甴YC搬龍門搬到呢🙄,Discuss
真相係点？,Discuss
黑衣同警察既真相。你地咁系去總部搞咯。但市民比阻路。比人打。鋪主比人放火。有人比人燒。咁邊個比真相市民。都多九餘,Discuss
其實佢有冇搞事大家心裡有數啦！正常元朗街坊一直都係好團結同大家互相幫助，相信不是有人搞事相信不會弄到這樣的,Discuss
曱甴害人不殺不足已平民憤😡,Discuss
"真相咪係一班黃c暴徒破壞社區，先撩者賤，引起另一班人不滿，之後兩班人打交。
事後黃c對自己嘅打人、破壞行為當冇件事，將黃C俾人打果d野就無限放大。",Discuss
"721只是一班曱甴去人地地方搞事
市民為了保護自己地方，驅趕曱甴
曱甴唔夠打，敗走
完",Discuss
作假消息煽動他人反政府好似係違反國安法？,Discuss
搞事嘅打死無怨，亦要預撚咗！比人打就怨天怨地！有事就話冇警察！冇事就黑警！不撚知所謂嘅冚家剷，希望再有人將呢班暴徒見鑊打鑊，打撚死佢哋為止！以前冇示威搞事就天下太平！先撩者賤咪撚呱呱嘈～贊成見鑊打鑊,Discuss
收埋個頭盔扮普通市民咁啱路過？,Discuss
"係咪拳頭交歷屎?????
第一次見有人講打拳頭交要寫入歷史........
英治時期開完片一地西瓜刀一地血唔見近代史有要求寫入去......",Discuss
甘Ｌ麻9煩～勝和14都有出人～下話？？？洗米華同新紅雞入國安公署啦！！！！,Discuss
班曱甴最鍾意講大話,Discuss
"還是為左淡化當晚去左中聯辦掟污國徽單野????
還是為左淡化當晚打到個貨VAN司機一頭血打爛哂架貨VAN偷哂貨VAN D野?????",Discuss
好！爭取到香港有國安法💪💪從此牛鬼蛇神、 邪魔妖孽 全部收皮,Discuss
"歷史???
歷史幾時會連笑話都記載?
我估計會寫..
元朗721事件
""100年前7月21日, 古時元朗發生政派衝突, 白衣幫利用高殺傷力武器*襲擊黑衣幫, 是日風雲變色, 喊殺連天, 黑衣幫且戰且退, 大部份白衣幫手持籐條,黑衣幫因童年心理陰影而被打至屎尿橫流, 傷害之高令同陣營人士(時稱黃C)定義為恐襲級別以尋求國際支援,而事故後籐條亦為世界所認識
*(注:籐條,為20世紀父母教仔女所用, 亦有云:[棍棒之下出孝子], 為世人所恐)
甘慘烈, 後世人應該睇到喊    ",Discuss
好 👍,Discuss
"""任職NGO的鄭先生7.21當日「速遞」新頭盔給做記者的弟弟，並將舊頭盔帶走。到晚上他與太太乘西鐵回家時遇白衣人襲擊，即使有頭盔保護，其人中仍被打至裂開，最後要縫七針。他憶述白衣人打人打到失控，「如果當時真係無頭盔，可能兩個人一齊入ICU，有少少feel到攞命level」。""
又一個咁岩路過，戴住頭盔搭西鐵既既路人!",Discuss
"講多d, 國安法已經實行，故意令人憎政府，已經犯國安法",Discuss
肥仔聰你入國安公署俾鄭署長針灸！！！,Discuss
"係呀.
初初又手足又齊上齊落, 又話有基金支援, 又義士前義士後.
最終, 見住一隻二隻曱甴,傷既傷,坐監既坐監,又失業.
但有啲人就眾籌搵錢, 選區議員每月袋幾皮.",Discuss
"一年前的乞兒甴曱入元朗搞事，大把老閉影到。真係只得甴曱網傳個小部份剪接片咩？
歷史被竄改乞兒甴曱先至做",Discuss
點荒謬? 你仲安然無恙咁出帖，哩啲咪你哋尊崇嘅言論自由，無被打壓囉,Discuss
曱甴搞架？？？,Discuss
班所謂見証人咪竄改緊事實囉,Discuss
"如果佢係單車友,拖住單車都講得過去.
正常人點會戴住頭盔",Discuss
膠post,Discuss
講句公道說話，你話林卓x帶頭入去元朗挑機又好，甘點解可以成百人係西鐵上襲擊市民，警察見到白衣人扮睇5到，又調轉頭，又拍膊頭，成件事點解釋都解5到,Discuss
廢話，999只黑暴搞事另加一个死蠢，然後揾个死蠢出来解話。,Discuss
"唔使恐竄改了……！
全世界任何一個政權都會將歷史真相竄改到自已有利的角度！這是必然的！",Discuss
"恐歷史被竄改? 其實只係一群白衫死曱甴走入元朗挑機, 輸Q左就瀨死. 如果呢的都叫做歷史既話, 就真係乜都可以話係歷史囉.",Discuss
真係唔明啲黃屍曱甴咁鍾意睇同作故仔。成班垃圾,Discuss
"要你地個大話版本先叫真??個國安法真係流到咁, 成大半個月都做唔到野",Discuss
吹雞入元朗群毆,Discuss
"呢樣叫送頭
應該係降頭嘅一種",Discuss
毒果作文我唔信,Discuss
"呢d所謂證人
又知唔知事前發生咩事？
係一班黑暴狗入元朗搞事
俾村民趕回車站
三白眼、花柳江 趕到車站想攞尾彩
呢個先係事實呀
冚家剷
😒",Discuss
"林卓廷夜媽媽入去做咩？
有雞先定有蛋先？",Discuss
"事實已擺在眼前，
N個證人，全港人有目共睹～～～
欠的只是公義既來臨
腐化已發展至全個政府，問題已變得國際化了
對付那麼大的非法集團，可能真要點時間",Discuss
"“任職社工的江小姐亦是7.21見證人，當晚她乘搭西鐵回家，在網上獲悉有白衣人襲擊途人，於是與朋友相約趕去元朗站支援″
去元朗站支援～支援去打白衣人？呢位江小姐仲冇份搞事？
見到白衣人襲擊途人應該報警就唔應該去支援，
做咗市民責任就可以，
警方唔來、唔處理係另一回事。",Discuss
賤種曱甴仆街死，黄畜黑暴死全家,Discuss
喂喂喂，D人話要去元朗報復掃場架。,Discuss
希望你俾人斬要等39個鐘，都唔係好耐姐,Discuss
"就係得721咁大把！咁黑衣人打家劫舍、殺人放火成年，咁我哋500萬人心情又好好過？
721挑機失敗，之后又扮普通市民call警察？嬴就黑暴、輸又變平民，點夠你班仆街玩呀？",Discuss
受害者都未死，死左先講啦,Discuss
我見到曱甴殺人。。,Discuss
"正常香港人都知:
沒有三白眼
沒有721
😒",Discuss
真相是兩幫黑社會在元朗街上劈友，其中一方由林卓廷議員帶領，最終不敵元朗陀地，落荒而逃，要拉就兩邊都要拉，尤其係大佬林議員,Discuss
"恐歷史被竄改? 其實只係一群死曱甴走入元朗挑機, 輸Q左就瀨死. 如果呢的都叫做歷史既話, 就真係乜都可以話係歷史囉. 真係唔明啲黃屍曱甴咁鍾意睇同作故仔。成班垃圾",Discuss
話時話，，，亭爺 帶兵攻打元朗村民...... 到依家 警方不了了之.........係咪已經決定咗唔追究亭爺呀？？？？,Discuss
"果個邊係大肚婆 😂
月巴口乍！😂😂😂",Discuss
指白為黑者，打得小！,Discuss
林生是大搞手，帶隊入元朗挑起戰鬥，係閘口大叫黑社會！,Discuss
"睇下呢條臭西？
「當晚她乘搭西鐵回家，在網上獲悉有白衣人襲擊途人，於是與朋友相約趕去元朗站支援。」
與朋友相約趕去元朗站支援。
自己都講能咗出黎啦",Discuss
樓主你啲壞晒腦嘅冚家剷幾時先肯收手？自己弱鳩智都算，仲要感染其他人？心腸歹毒如此，唔死無用！,Discuss
我知道果日有兩班人打交，邊便打輸就吾知拿,Discuss
社工係政治上係唔值得信任。,Discuss
"屌……你……老……母……黑E人……入元朗諗住打7人……點知唔撚夠打
7乜撚野21",Discuss
一日響度囉囉嗦嗦，又唔講下無數黑暴破壞、堵路、砸舖、私了...,Discuss
班黃屍比人打一次就嗌生嗌死，但佢地日日暴力私了不同政見嘅人同破壞公物就隻字不提,Discuss
再L嘈就打L死你！打L死你呀！,Discuss
白眼廷帶曱甴入元朗搞事歷史真係怕畀人竄改,Discuss
真相究竟係点？,Discuss
"黑媒上年將所有黑衣暴徒暴動改為白事
放火破壞燒舖私了燒人當義事？
呢班曱甴明明心腸惡毒，竟然仲歪理亂講。
人無恥真係食屎。走狗漢奸唔做再做戲。冇人再信你。垃圾。害人害物。",Discuss
垃圾,Discuss
"毒果入腦
早日入册
回頭是岸
及早求依？",Discuss
"哇,暴徒竟然够胆讲恐他人篡改历史尼句话",Discuss
"有一位親戚更責怪受傷丈夫，「佢就信咗藍絲鼓吹嗰套，就話佢（鄭先生）戴住頭盔有份搞事」。
我吊你老冇呀
好人好姐戴住頭盔？！",Discuss
721事實已經被毒果帶頭的黑暴文宣所竄改,Discuss
件衫就黑變白,Discuss
點解黑暴每次示威都恐襲唔認同佢地嘅人，又唔講!,Discuss
"合情合理。再者販民議員說不要警隊進入地鐵、商場、大廈...,先拿搜查令才可去拘捕人..",Discuss
我睇直播都見証你班垃圾黑衣黃畜，係街/地鐵站換裝再去元朗撩事，話自己係受害人？咁我地呢班一直等政府出手既人係乜，你地班仆街仲送左國安比我地！要做見証人既話我見証呢1年你班黑衣/黃畜/漢奸/走狗/暴徒點破壞香港,Discuss
正確,Discuss
成班豬閪入去搞事，唔夠人打就喺度呱呱嘈 垃圾曱甴黄畜唔死都冇撚用,Discuss
其實都幾on9，好人好姐帶住個頭盔行街，又有人信至搞野,Discuss
之後立法會有人提出彈劾何君堯，但有人反問彈劾個不在現場嘅何君堯都唔彈劾在場嘅林卓廷。呢個真係太重點啦，無可反駁,Discuss
"暴徒破壞香港足足一整年, 竟敢對自己既暴行絕口不提
全港市民都係見證人, 香港人絕不會忘記你地既暴行",Discuss
好人好姐點會畀白衣人斬？除非你係曱甴黑渣。,Discuss
咩真相呀？大聲d啦，驚國安法？,Discuss
"速遞頭盔比記者細佬
睇到呢度已經知道事實！
咪當香港人傻仔，好無？",Discuss
可能上次叫雞但未畀足錢，要去找尾數！,Discuss
毒果,Discuss
十分奇怪，一年後先又再攞啲相出黎，好明顯有係有預謀，等件事繼續煲落去,Discuss
速遞頭盔咁好呀？ 咁我速遞把關刀斬曱甴得唔得呀？,Discuss
