,Comment,Forum,Segments,NoStopPunct
2427,點荒謬? 你仲安然無恙咁出帖，哩啲咪你哋尊崇嘅言論自由，無被打壓囉,0,點 荒謬 ?   你仲 安然無恙 咁 出 帖 ， 哩啲 咪 你哋 尊崇 嘅 言論自由 ， 無 被 打壓 囉,荒謬 你仲 安然無恙 出 帖 尊崇 言論自由 被 打壓 囉
2428,曱甴搞架？？？,0,曱甴 搞架 ？ ？ ？,曱甴 搞架
2429,班所謂見証人咪竄改緊事實囉,0,班 所謂 見証 人 咪 竄改 緊 事實 囉,班 所謂 見証 人 竄改 緊 事實 囉
2430,"如果佢係單車友,拖住單車都講得過去.
正常人點會戴住頭盔",0,"如果 佢 係 單車 友 , 拖住 單車 都 講得 過去 . 
 正常人 點會 戴住 頭盔",單車 友 拖住 單車 講得 過去 正常人 點會 戴住 頭盔
2431,膠post,0,膠 post,膠 post
2432,講句公道說話，你話林卓x帶頭入去元朗挑機又好，甘點解可以成百人係西鐵上襲擊市民，警察見到白衣人扮睇5到，又調轉頭，又拍膊頭，成件事點解釋都解5到,0,講句 公道 說話 ， 你 話 林卓 x 帶頭 入去 元朗 挑機 又 好 ， 甘 點解 可以 成百人 係 西鐵上 襲擊 市民 ， 警察 見到 白衣 人扮 睇 5 到 ， 又 調 轉頭 ， 又 拍 膊頭 ， 成件 事 點解 釋都解 5 到,講句 公道 說話 林卓 x 帶頭 入去 元朗 挑機 甘 成百人 西鐵上 襲擊 市民 警察 見到 白衣 人扮 5 調 轉頭 拍 膊頭 成件 事 釋都解 5
2433,廢話，999只黑暴搞事另加一个死蠢，然後揾个死蠢出来解話。,0,廢話 ， 999 只 黑暴 搞事 另加 一个 死蠢 ， 然後 揾 个 死 蠢 出来 解話 。,廢話 999 只 黑暴 搞事 另加 一个 死蠢 揾 个 死 蠢 出来 解話
2434,"唔使恐竄改了……！
全世界任何一個政權都會將歷史真相竄改到自已有利的角度！這是必然的！",0,"唔使 恐 竄改 了 … … ！ 
 全世界 任何 一個 政權 都 會將 歷史 真相 竄改 到 自已 有利 的 角度 ！ 這是 必然 的 ！",恐 竄改 了 … … 全世界 任何 一個 政權 會將 歷史 真相 竄改 自已 有利 角度 這是 必然
2435,"恐歷史被竄改? 其實只係一群白衫死曱甴走入元朗挑機, 輸Q左就瀨死. 如果呢的都叫做歷史既話, 就真係乜都可以話係歷史囉.",0,"恐 歷史 被 竄改 ?   其實 只係 一群 白衫 死 曱甴 走入 元朗 挑機 ,   輸 Q 左就瀨死 .   如果 呢 的 都 叫做 歷史 既話 ,   就 真係 乜 都 可以 話 係 歷史 囉 .",恐 歷史 被 竄改 其實 只係 一群 白衫 死 曱甴 走入 元朗 挑機 輸 Q 左就瀨死 叫做 歷史 既話 歷史 囉
2436,真係唔明啲黃屍曱甴咁鍾意睇同作故仔。成班垃圾,0,真係 唔 明 啲 黃 屍 曱甴 咁 鍾意 睇 同作 故仔 。 成班 垃圾,明 黃 屍 曱甴 鍾意 同作 故仔 成班 垃圾
2437,"要你地個大話版本先叫真??個國安法真係流到咁, 成大半個月都做唔到野",0,"要 你 地個 大話 版本 先叫 真 ? ? 個 國安法 真係 流到 咁 ,   成 大半個 月 都 做 唔 到 野",地個 大話 版本 先叫 真 國安法 流到 成 大半個 月 做
2438,吹雞入元朗群毆,0,吹雞入 元朗 群毆,吹雞入 元朗 群毆
2439,"呢樣叫送頭
應該係降頭嘅一種",0,"呢 樣 叫 送頭 
 應該 係 降 頭 嘅 一種",樣 叫 送頭 降 頭 一種
2440,毒果作文我唔信,0,毒果 作文 我 唔 信,毒果 作文 信
2441,"呢d所謂證人
又知唔知事前發生咩事？
係一班黑暴狗入元朗搞事
俾村民趕回車站
三白眼、花柳江 趕到車站想攞尾彩
呢個先係事實呀
冚家剷
😒",0,"呢 d 所謂 證人 
 又 知 唔知 事前 發生 咩 事 ？ 
 係 一班 黑暴 狗入 元朗 搞事 
 俾 村民 趕回 車站 
 三 白眼 、 花 柳江   趕到 車站 想 攞 尾 彩 
 呢個 先 係 事實 呀 
 冚 家 剷 
 😒",d 所謂 證人 唔知 事前 發生 事 一班 黑暴 狗入 元朗 搞事 俾 村民 趕回 車站 三 白眼 花 柳江 趕到 車站 攞 尾 彩 先 事實 冚 家 剷 😒
2442,"林卓廷夜媽媽入去做咩？
有雞先定有蛋先？",0,"林卓廷夜 媽媽 入去 做 咩 ？ 
 有 雞 先 定有 蛋先 ？",林卓廷夜 媽媽 入去 做 雞 先 定有 蛋先
2443,"事實已擺在眼前，
N個證人，全港人有目共睹～～～
欠的只是公義既來臨
腐化已發展至全個政府，問題已變得國際化了
對付那麼大的非法集團，可能真要點時間",0,"事實 已 擺在 眼前 ， 
 N 個 證人 ， 全港 人 有目共睹 ～ ～ ～ 
 欠 的 只是 公義 既 來臨 
 腐化 已 發展 至 全個 政府 ， 問題 已 變得 國際化 了 
 對付 那麼 大 的 非法 集團 ， 可能 真 要點 時間",事實 已 擺在 眼前 N 證人 全港 人 有目共睹 欠 只是 公義 來臨 腐化 已 發展 至 全個 政府 問題 已 變得 國際化 了 對付 那麼 大 非法 集團 真 要點 時間
2444,"“任職社工的江小姐亦是7.21見證人，當晚她乘搭西鐵回家，在網上獲悉有白衣人襲擊途人，於是與朋友相約趕去元朗站支援″
去元朗站支援～支援去打白衣人？呢位江小姐仲冇份搞事？
見到白衣人襲擊途人應該報警就唔應該去支援，
做咗市民責任就可以，
警方唔來、唔處理係另一回事。",0,"“ 任職 社工 的 江 小姐 亦 是 7.21 見證人 ， 當晚 她 乘 搭 西鐵 回家 ， 在 網上 獲悉 有 白衣 人 襲擊 途人 ， 於是 與 朋友 相約 趕去 元朗 站 支援 ″ 
 去 元朗 站 支援 ～ 支援 去 打 白衣 人 ？ 呢 位江 小姐 仲 冇份 搞事 ？ 
 見到 白衣 人 襲擊 途人 應該 報警 就 唔 應該 去 支援 ， 
 做 咗 市民 責任 就 可以 ， 
 警方 唔 來 、 唔 處理 係 另一回事 。",“ 任職 社工 江 小姐 亦 7.21 見證人 當晚 乘 搭 西鐵 回家 網上 獲悉 白衣 人 襲擊 途人 於是 朋友 相約 趕去 元朗 站 支援 ″ 元朗 站 支援 支援 打 白衣 人 位江 小姐 仲 冇份 搞事 見到 白衣 人 襲擊 途人 報警 支援 做 市民 責任 警方 來 處理 另一回事
2445,賤種曱甴仆街死，黄畜黑暴死全家,0,賤種 曱甴 仆街 死 ， 黄畜 黑 暴死 全家,賤種 曱甴 仆街 死 黄畜 黑 暴死 全家
2446,喂喂喂，D人話要去元朗報復掃場架。,0,喂喂 喂 ， D 人話 要 去 元朗 報復 掃場 架 。,喂喂 喂 D 人話 元朗 報復 掃場 架
2447,希望你俾人斬要等39個鐘，都唔係好耐姐,0,希望 你 俾 人 斬 要 等 39 個鐘 ， 都 唔係 好耐 姐,希望 俾 人 斬 等 39 個鐘 好耐 姐
2448,"就係得721咁大把！咁黑衣人打家劫舍、殺人放火成年，咁我哋500萬人心情又好好過？
721挑機失敗，之后又扮普通市民call警察？嬴就黑暴、輸又變平民，點夠你班仆街玩呀？",0,"就係 得 721 咁 大把 ！ 咁 黑衣人 打家劫舍 、 殺人放火 成年 ， 咁 我哋 500 萬人 心情 又 好 好過 ？ 
 721 挑機 失敗 ， 之后 又 扮 普通 市民 call 警察 ？ 嬴 就 黑暴 、 輸 又 變 平民 ， 點夠 你 班 仆 街 玩 呀 ？",就係 721 大把 黑衣人 打家劫舍 殺人放火 成年 500 萬人 心情 好過 721 挑機 失敗 之后 扮 普通 市民 call 警察 嬴 黑暴 輸 變 平民 點夠 班 仆 街 玩
2449,受害者都未死，死左先講啦,0,受害者 都 未 死 ， 死 左 先講 啦,受害者 死 死 左 先講 啦
2450,我見到曱甴殺人。。,0,我 見到 曱甴 殺人 。 。,見到 曱甴 殺人
2451,"正常香港人都知:
沒有三白眼
沒有721
😒",0,"正常 香港人 都 知 : 
 沒有 三 白眼 
 沒有 721 
 😒",正常 香港人 三 白眼 721 😒
2452,真相是兩幫黑社會在元朗街上劈友，其中一方由林卓廷議員帶領，最終不敵元朗陀地，落荒而逃，要拉就兩邊都要拉，尤其係大佬林議員,0,真相 是 兩幫 黑社會 在 元朗 街上 劈友 ， 其中 一方 由林卓廷 議員 帶領 ， 最終 不 敵 元朗 陀 地 ， 落荒而逃 ， 要 拉 就 兩邊 都 要 拉 ， 尤其 係 大佬 林 議員,真相 兩幫 黑社會 元朗 街上 劈友 其中 一方 由林卓廷 議員 帶領 最終 敵 元朗 陀 地 落荒而逃 拉 兩邊 拉 尤其 大佬 林 議員
2453,"恐歷史被竄改? 其實只係一群死曱甴走入元朗挑機, 輸Q左就瀨死. 如果呢的都叫做歷史既話, 就真係乜都可以話係歷史囉. 真係唔明啲黃屍曱甴咁鍾意睇同作故仔。成班垃圾",0,"恐 歷史 被 竄改 ?   其實 只係 一群 死 曱甴 走入 元朗 挑機 ,   輸 Q 左就瀨死 .   如果 呢 的 都 叫做 歷史 既話 ,   就 真係 乜 都 可以 話 係 歷史 囉 .   真係 唔 明 啲 黃 屍 曱甴 咁 鍾意 睇 同作 故仔 。 成班 垃圾",恐 歷史 被 竄改 其實 只係 一群 死 曱甴 走入 元朗 挑機 輸 Q 左就瀨死 叫做 歷史 既話 歷史 囉 明 黃 屍 曱甴 鍾意 同作 故仔 成班 垃圾
2454,話時話，，，亭爺 帶兵攻打元朗村民...... 到依家 警方不了了之.........係咪已經決定咗唔追究亭爺呀？？？？,0,話時話 ， ， ， 亭爺   帶兵 攻打 元朗 村民 ......   到 依家   警方 不了了之 ......... 係咪 已經 決定 咗 唔 追究 亭爺 呀 ？ ？ ？ ？,話時話 亭爺 帶兵 攻打 元朗 村民 ...... 依家 警方 不了了之 ......... 係咪 決定 追究 亭爺
2455,"果個邊係大肚婆 😂
月巴口乍！😂😂😂",0,"果個邊 係 大肚婆   😂 
 月 巴口 乍 ！ 😂 😂 😂",果個邊 大肚婆 😂 月 巴口 乍 😂 😂 😂
2456,指白為黑者，打得小！,0,指白為 黑者 ， 打得 小 ！,指白為 黑者 打得 小
2457,林生是大搞手，帶隊入元朗挑起戰鬥，係閘口大叫黑社會！,0,林生 是 大 搞 手 ， 帶隊 入 元朗 挑起 戰鬥 ， 係 閘口 大叫 黑社會 ！,林生 大 搞 手 帶隊 入 元朗 挑起 戰鬥 閘口 大叫 黑社會
2458,"睇下呢條臭西？
「當晚她乘搭西鐵回家，在網上獲悉有白衣人襲擊途人，於是與朋友相約趕去元朗站支援。」
與朋友相約趕去元朗站支援。
自己都講能咗出黎啦",0,"睇 下 呢 條臭西 ？ 
 「 當晚 她 乘 搭 西鐵 回家 ， 在 網上 獲悉 有 白衣 人 襲擊 途人 ， 於是 與 朋友 相約 趕去 元朗 站 支援 。 」 
 與 朋友 相約 趕去 元朗 站 支援 。 
 自己 都 講能 咗 出黎 啦",下 條臭西 當晚 乘 搭 西鐵 回家 網上 獲悉 白衣 人 襲擊 途人 於是 朋友 相約 趕去 元朗 站 支援 朋友 相約 趕去 元朗 站 支援 講能 出黎 啦
2459,樓主你啲壞晒腦嘅冚家剷幾時先肯收手？自己弱鳩智都算，仲要感染其他人？心腸歹毒如此，唔死無用！,0,樓主 你 啲 壞 晒 腦 嘅 冚 家 剷 幾時 先肯 收手 ？ 自己 弱 鳩 智 都 算 ， 仲要 感染 其他人 ？ 心腸歹毒 如此 ， 唔 死 無用 ！,樓主 壞 晒 腦 冚 家 剷 幾時 先肯 收手 弱 鳩 智 算 仲要 感染 其他人 心腸歹毒 如此 死 無用
2460,我知道果日有兩班人打交，邊便打輸就吾知拿,0,我 知道 果日 有 兩班 人 打交 ， 邊便 打輸 就吾知 拿,知道 果日 兩班 人 打交 邊便 打輸 就吾知 拿
2461,社工係政治上係唔值得信任。,0,社工 係 政治 上 係 唔 值得 信任 。,社工 政治 上 值得 信任
2462,"屌……你……老……母……黑E人……入元朗諗住打7人……點知唔撚夠打
7乜撚野21",0,"屌 … … 你 … … 老 … … 母 … … 黑 E 人 … … 入 元朗 諗 住 打 7 人 … … 點知 唔 撚 夠打 
 7 乜 撚 野 21",屌 … … … … 老 … … 母 … … 黑 E 人 … … 入 元朗 住 打 7 人 … … 點知 撚 夠打 7 撚 21
2463,一日響度囉囉嗦嗦，又唔講下無數黑暴破壞、堵路、砸舖、私了...,0,一日 響度 囉囉嗦嗦 ， 又 唔 講下 無數 黑暴 破壞 、 堵路 、 砸 舖 、 私 了 ...,一日 響度 囉囉嗦嗦 講下 無數 黑暴 破壞 堵路 砸 舖 私 了 ...
2464,班黃屍比人打一次就嗌生嗌死，但佢地日日暴力私了不同政見嘅人同破壞公物就隻字不提,0,班黃屍 比人 打 一次 就 嗌 生 嗌 死 ， 但 佢 地 日日 暴力 私 了 不同 政見 嘅 人 同 破壞 公物 就 隻字不提,班黃屍 比人 打 一次 嗌 生 嗌 死 但 地 日日 暴力 私 了 不同 政見 人 破壞 公物 隻字不提
2465,再L嘈就打L死你！打L死你呀！,0,再 L 嘈 就 打 L 死 你 ！ 打 L 死 你 呀 ！,L 嘈 打 L 死 打 L 死
2466,白眼廷帶曱甴入元朗搞事歷史真係怕畀人竄改,0,白眼 廷帶 曱甴 入 元朗 搞事 歷史 真係 怕 畀 人 竄改,白眼 廷帶 曱甴 入 元朗 搞事 歷史 怕 畀 人 竄改
2467,真相究竟係点？,0,真相 究竟 係 点 ？,真相 究竟 点
2468,"黑媒上年將所有黑衣暴徒暴動改為白事
放火破壞燒舖私了燒人當義事？
呢班曱甴明明心腸惡毒，竟然仲歪理亂講。
人無恥真係食屎。走狗漢奸唔做再做戲。冇人再信你。垃圾。害人害物。",0,"黑媒 上年 將 所有 黑衣 暴徒 暴動 改為 白事 
 放火 破壞 燒 舖 私 了 燒人 當義事 ？ 
 呢 班 曱甴 明明 心腸 惡毒 ， 竟然 仲 歪理 亂講 。 
 人 無恥 真係 食屎 。 走狗 漢奸 唔 做 再 做戲 。 冇 人 再 信 你 。 垃圾 。 害人 害物 。",黑媒 上年 將 所有 黑衣 暴徒 暴動 改為 白事 放火 破壞 燒 舖 私 了 燒人 當義事 班 曱甴 明明 心腸 惡毒 竟然 仲 歪理 亂講 人 無恥 食屎 走狗 漢奸 做 做戲 人 信 垃圾 害人 害物
2469,垃圾,0,垃圾,垃圾
2470,"毒果入腦
早日入册
回頭是岸
及早求依？",0,"毒果 入腦 
 早日 入册 
 回頭是岸 
 及早 求依 ？",毒果 入腦 早日 入册 回頭是岸 及早 求依
2471,"哇,暴徒竟然够胆讲恐他人篡改历史尼句话",0,"哇 , 暴徒 竟然 够 胆 讲 恐 他人 篡改 历史 尼句 话",哇 暴徒 竟然 够 胆 讲 恐 他人 篡改 历史 尼句 话
2472,"有一位親戚更責怪受傷丈夫，「佢就信咗藍絲鼓吹嗰套，就話佢（鄭先生）戴住頭盔有份搞事」。
我吊你老冇呀
好人好姐戴住頭盔？！",0,"有 一位 親戚 更 責怪 受傷 丈夫 ， 「 佢 就 信 咗 藍 絲 鼓吹 嗰 套 ， 就 話 佢 （ 鄭先生 ） 戴住 頭盔 有份 搞事 」 。 
 我 吊 你老 冇 呀 
 好人 好姐 戴住 頭盔 ？ ！",一位 親戚 更 責怪 受傷 丈夫 信 藍 絲 鼓吹 套 鄭先生 戴住 頭盔 有份 搞事 吊 你老 好人 好姐 戴住 頭盔
2473,721事實已經被毒果帶頭的黑暴文宣所竄改,0,721 事實 已經 被 毒果 帶頭 的 黑 暴文 宣所 竄改,721 事實 被 毒果 帶頭 黑 暴文 宣所 竄改
2474,件衫就黑變白,0,件 衫 就 黑 變白,件 衫 黑 變白
2475,點解黑暴每次示威都恐襲唔認同佢地嘅人，又唔講!,0,點解 黑暴 每次 示威 都 恐襲 唔 認同 佢 地 嘅 人 ， 又 唔 講 !,黑暴 每次 示威 恐襲 認同 地 人
2476,"合情合理。再者販民議員說不要警隊進入地鐵、商場、大廈...,先拿搜查令才可去拘捕人..",0,"合情合理 。 再者 販民 議員 說 不要 警隊 進入 地鐵 、 商場 、 大廈 ... , 先 拿 搜查 令才 可去 拘捕 人 ..",合情合理 再者 販民 議員 不要 警隊 進入 地鐵 商場 大廈 ... 先 拿 搜查 令才 可去 拘捕 人 ..
2477,我睇直播都見証你班垃圾黑衣黃畜，係街/地鐵站換裝再去元朗撩事，話自己係受害人？咁我地呢班一直等政府出手既人係乜，你地班仆街仲送左國安比我地！要做見証人既話我見証呢1年你班黑衣/黃畜/漢奸/走狗/暴徒點破壞香港,0,我 睇 直播 都 見証 你 班 垃圾 黑衣 黃 畜 ， 係 街 / 地鐵站 換裝 再 去 元朗 撩事 ， 話 自己 係 受害人 ？ 咁 我 地 呢 班 一直 等 政府 出手 既人 係 乜 ， 你 地班仆 街仲送 左 國安 比 我 地 ！ 要 做 見証 人 既 話 我 見証 呢 1 年 你 班 黑衣 / 黃 畜 / 漢奸 / 走狗 / 暴徒 點 破壞 香港,直播 見証 班 垃圾 黑衣 黃 畜 街 地鐵站 換裝 元朗 撩事 受害人 地 班 一直 等 政府 出手 既人 地班仆 街仲送 左 國安 比 地 做 見証 人 見証 1 年 班 黑衣 黃 畜 漢奸 走狗 暴徒 破壞 香港
2478,正確,0,正確,正確
2479,成班豬閪入去搞事，唔夠人打就喺度呱呱嘈 垃圾曱甴黄畜唔死都冇撚用,0,成班豬 閪 入去 搞事 ， 唔 夠人 打 就 喺度 呱呱 嘈   垃圾 曱甴 黄畜 唔 死 都 冇 撚 用,成班豬 閪 入去 搞事 夠人 打 呱呱 嘈 垃圾 曱甴 黄畜 死 撚 用
2480,其實都幾on9，好人好姐帶住個頭盔行街，又有人信至搞野,0,其實 都 幾 on9 ， 好人 好姐 帶 住 個頭 盔 行街 ， 又 有人 信至 搞野,其實 on9 好人 好姐 帶 住 個頭 盔 行街 有人 信至 搞野
2481,之後立法會有人提出彈劾何君堯，但有人反問彈劾個不在現場嘅何君堯都唔彈劾在場嘅林卓廷。呢個真係太重點啦，無可反駁,0,之後 立法會 有人 提出 彈劾 何君堯 ， 但 有人 反問 彈劾 個 不在 現場 嘅 何 君 堯 都 唔 彈劾 在場 嘅 林 卓 廷 。 呢個 真係 太 重點 啦 ， 無可反駁,立法會 有人 提出 彈劾 何君堯 但 有人 反問 彈劾 不在 現場 何 君 堯 彈劾 在場 林 卓 廷 重點 啦 無可反駁
2482,"暴徒破壞香港足足一整年, 竟敢對自己既暴行絕口不提
全港市民都係見證人, 香港人絕不會忘記你地既暴行",0,"暴徒 破壞 香港 足足 一 整年 ,   竟敢 對 自己 既 暴行 絕口不提 
 全港 市民 都 係 見證人 ,   香港人 絕不會 忘記 你 地 既 暴行",暴徒 破壞 香港 足足 一 整年 竟敢 對 暴行 絕口不提 全港 市民 見證人 香港人 絕不會 忘記 地 暴行
2483,好人好姐點會畀白衣人斬？除非你係曱甴黑渣。,0,好人 好姐 點會 畀 白衣 人 斬 ？ 除非 你 係 曱甴 黑渣 。,好人 好姐 點會 畀 白衣 人 斬 除非 曱甴 黑渣
2484,咩真相呀？大聲d啦，驚國安法？,0,咩 真相 呀 ？ 大聲 d 啦 ， 驚 國安法 ？,真相 大聲 d 啦 驚 國安法
2485,"速遞頭盔比記者細佬
睇到呢度已經知道事實！
咪當香港人傻仔，好無？",0,"速遞 頭盔 比 記者 細佬 
 睇 到 呢度 已經 知道 事實 ！ 
 咪當 香港人 傻仔 ， 好 無 ？",速遞 頭盔 比 記者 細佬 知道 事實 咪當 香港人 傻仔
2486,可能上次叫雞但未畀足錢，要去找尾數！,0,可能 上次 叫 雞 但 未 畀 足 錢 ， 要 去 找 尾數 ！,上次 叫 雞 但 畀 足 錢 找 尾數
2487,毒果,0,毒果,毒果
2488,十分奇怪，一年後先又再攞啲相出黎，好明顯有係有預謀，等件事繼續煲落去,0,十分 奇怪 ， 一年 後 先 又 再 攞 啲 相 出 黎 ， 好 明顯 有 係 有 預謀 ， 等件 事 繼續 煲 落去,十分 奇怪 一年 後 先 攞 相 出 黎 明顯 預謀 等件 事 繼續 煲 落去
2489,速遞頭盔咁好呀？ 咁我速遞把關刀斬曱甴得唔得呀？,0,速遞 頭盔 咁 好呀 ？   咁 我 速遞 把關 刀 斬 曱甴 得 唔 得 呀 ？,速遞 頭盔 好呀 速遞 把關 刀 斬 曱甴
2490,仲有果個以為係明星嘅花柳肛呢？點解會係現場?,0,仲有 果個 以為 係 明星 嘅 花柳 肛 呢 ？ 點解 會 係 現場 ?,仲有 果個 以為 明星 花柳 肛 現場
2491,"黃畜 撚雀亭 本來就是一個笑話,
畜牲曱甴一隻,
同畜牲講錯對？
晒氣！",0,"黃 畜   撚 雀 亭   本來 就是 一個 笑話 , 
 畜牲 曱甴 一隻 , 
 同 畜牲 講錯 對 ？ 
 晒氣 ！",黃 畜 撚 雀 亭 本來 一個 笑話 畜牲 曱甴 一隻 畜牲 講錯 對 晒氣
2492,係lo，黃畜真係無腦,0,係 lo ， 黃 畜 真係 無腦,lo 黃 畜 無腦
2493,"條友唔係講,比人打,我去叫齊Ｄ兄弟幫手(一齊比人打)結果願望成真了",0,"條友 唔係 講 , 比人 打 , 我 去 叫 齊 Ｄ 兄弟 幫手 ( 一齊 比人 打 ) 結果 願望 成真 了",條友 比人 打 叫 齊 Ｄ 兄弟 幫手 一齊 比人 打 結果 願望 成真 了
2494,毒果轉貼員，成日轉毒果假新聞，可恥,0,毒果 轉貼 員 ， 成日 轉毒果 假新聞 ， 可恥,毒果 轉貼 員 轉毒果 假新聞 可恥
2495,"""有曬片都要用相""
+1
當日早段時無乜大台記者, 只得啲網媒, 同好似有乜9城大記者. 但片斷就一截截.
另外,佢地成日吹兩名軍警走人, 但走之前做過乜, 又無片睇.",0,""" 有曬片 都 要 用 相 "" 
 + 1 
 當日 早段 時 無 乜大台 記者 ,   只得 啲 網媒 ,   同 好似 有 乜 9 城大 記者 .   但 片斷 就 一截 截 . 
 另外 , 佢 地 成日 吹 兩名 軍警 走人 ,   但 走 之前 做過 乜 ,   又 無片 睇 .",有曬片 用 相 1 當日 早段 時 乜大台 記者 只得 網媒 好似 9 城大 記者 但 片斷 一截 截 另外 地 吹 兩名 軍警 走人 但 走 之前 做過 無片
2496,‘任職NGO的鄭先生7.21當日「速遞」新頭盔給做記者的弟弟，並將舊頭盔帶走。’做記者弟弟有預謀和你唱。‘記者弟弟’出外工作忘記帶新頭盔，又要事發時要他去危險地方。一切是天意滅曱甴。,0,‘ 任職 NGO 的 鄭先生 7.21 當日 「 速遞 」 新 頭盔 給做 記者 的 弟弟 ， 並將 舊 頭盔 帶走 。 ’ 做 記者 弟弟 有 預謀 和 你 唱 。 ‘ 記者 弟弟 ’ 出外 工作 忘記 帶新 頭盔 ， 又 要 事發 時要 他 去 危險 地方 。 一切 是 天意 滅 曱甴 。,‘ 任職 NGO 鄭先生 7.21 當日 速遞 新 頭盔 給做 記者 弟弟 並將 舊 頭盔 帶走 ’ 做 記者 弟弟 預謀 唱 ‘ 記者 弟弟 ’ 出外 工作 忘記 帶新 頭盔 事發 時要 危險 地方 一切 天意 滅 曱甴
2497,其實樓主post右面中間幅相已說明一切兼好L笑，佢地話白衣人打佢地，大家隔咗個玻璃欄杆，你班柒頭曱甴唔行埋去個隔欄杆位白衣人會打倒你?即係代表你班曱甴自己都係走埋去想打人，不過黄屍L智障諗唔倒，根本成件事互相毆鬥，晤夠打一方話自己可憐無辜被打,0,其實 樓主 post 右面 中間 幅相 已 說明 一切 兼好 L 笑 ， 佢 地 話 白衣 人 打 佢 地 ， 大家 隔 咗 個 玻璃 欄杆 ， 你 班 柒頭 曱甴 唔 行 埋去 個 隔 欄杆 位 白衣 人會 打倒 你 ? 即係 代表 你 班 曱甴 自己 都 係 走 埋去 想 打人 ， 不過 黄屍 L 智障 諗 唔 倒 ， 根本 成件 事 互相 毆鬥 ， 晤 夠打 一方 話 自己 可憐 無辜 被 打,其實 樓主 post 右面 中間 幅相 已 說明 一切 兼好 L 笑 地 白衣 人 打 地 大家 隔 玻璃 欄杆 班 柒頭 曱甴 行 埋去 隔 欄杆 位 白衣 人會 打倒 代表 班 曱甴 走 埋去 打人 黄屍 L 智障 倒 根本 成件 事 互相 毆鬥 晤 夠打 一方 可憐 無辜 被 打
2498,荒謬得過你班撚樣,0,荒謬 得過 你 班 撚 樣,荒謬 得過 班 撚 樣
2499,"我唔係元朗鄉黑都睇唔過眼,政總係金鐘,禮賓府係中環!你政治訴求多次走入元朗上街做乜撚野? 同去北角被福建幫打根本一撚樣,先撩者賤!",0,"我 唔係 元朗 鄉 黑 都 睇 唔 過眼 , 政總 係 金鐘 , 禮賓府 係 中環 ! 你 政治 訴求 多次 走入 元朗 上街 做乜 撚 野 ?   同去 北角 被 福建 幫打 根本 一 撚 樣 , 先 撩者 賤 !",元朗 鄉 黑 過眼 政總 金鐘 禮賓府 中環 政治 訴求 多次 走入 元朗 上街 做乜 撚 同去 北角 被 福建 幫打 根本 一 撚 樣 先 撩者 賤
2500,"又係毒果文宣,算把啦",0,"又 係 毒果 文宣 , 算 把 啦",毒果 文宣 算 把 啦
2501,夜晚晚 又唔係住元朗 但又去元朗為咩？ 一百隻曱甴隻隻都話探親友..但夜晚晚探親友，除非d親友全部都係鬼啦,0,夜晚 晚   又 唔係 住 元朗   但 又 去 元朗 為 咩 ？   一百隻 曱甴 隻 隻 都 話 探 親友 .. 但 夜晚 晚探 親友 ， 除非 d 親友 全部 都 係 鬼 啦,夜晚 晚 住 元朗 但 元朗 為 一百隻 曱甴 隻 隻 探 親友 .. 但 夜晚 晚探 親友 除非 d 親友 全部 鬼 啦
2502,真相早就有啦，黑衣入元朗挑機敗北，跟住倒打一耙,0,真相 早就 有 啦 ， 黑衣 入 元朗 挑機 敗北 ， 跟住 倒打一耙,真相 早就 啦 黑衣 入 元朗 挑機 敗北 倒打一耙
2503,林卓廷其實是暴徒的公公，所以只要有暴徒，便有佢條kai 弟.,0,林卓廷 其實 是 暴徒 的 公公 ， 所以 只要 有 暴徒 ， 便 有 佢 條 kai   弟 .,林卓廷 其實 暴徒 公公 只要 暴徒 便 條 kai 弟
2504,真相就係林卓廷帶黑衣人入元朗搞事！,0,真相 就係 林卓廷 帶 黑衣人 入 元朗 搞事 ！,真相 就係 林卓廷 帶 黑衣人 入 元朗 搞事
2505,據聞7.14黑衣人爭地盤敗走元朗 翌日連登文宣7.21出征光復元朗旗號 721林公公帶領黑衣人群浩浩蕩蕩出征元朗 元朗站偶遇白衣鄉民 林公公口出狂言挑釁白衣鄉民 結果造成元朗站內騷亂 歸根究柢刀是林公公始作俑者🤔,0,據聞 7.14 黑衣人 爭 地盤 敗走 元朗   翌日 連登文宣 7.21 出征 光復 元朗 旗號   721 林 公公 帶領 黑衣 人群 浩浩蕩蕩 出征 元朗   元朗 站 偶遇 白衣 鄉民   林 公公 口出狂言 挑釁 白衣 鄉民   結果 造成 元朗 站內 騷亂   歸根究柢 刀 是 林 公公 始作俑者 🤔,據聞 7.14 黑衣人 爭 地盤 敗走 元朗 翌日 連登文宣 7.21 出征 光復 元朗 旗號 721 林 公公 帶領 黑衣 人群 浩浩蕩蕩 出征 元朗 元朗 站 偶遇 白衣 鄉民 林 公公 口出狂言 挑釁 白衣 鄉民 結果 造成 元朗 站內 騷亂 歸根究柢 刀 林 公公 始作俑者 🤔
